Branch Path,Variable,branch_level,Current Accounts,Projected Scenario,Shown In Interface,Shown In Interface Projected,Units,Notes
Demand\Freight road,Freight GDP Elasticity Adjustment,transport,True,False,True,True,multiplier,
Demand\Freight road,Reconciliation Bound Lower Efficiency,transport,True,False,True,True,ratio,
Demand\Freight road,Reconciliation Bound Lower Mileage,transport,True,False,True,True,ratio,
Demand\Freight road,Reconciliation Bound Upper Efficiency,transport,True,False,True,True,ratio,
Demand\Freight road,Reconciliation Bound Upper Mileage,transport,True,False,True,True,ratio,
Demand\Freight road,Reconciliation Weight Efficiency,transport,True,False,True,True,weight (0-1),
Demand\Freight road,Reconciliation Weight Mileage,transport,True,False,True,True,weight (0-1),
Demand\Freight road,Reconciliation Weight Stock,transport,True,False,True,True,weight (0-1),
Demand\Freight road\Age 0,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 0,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 1,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 1,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 10,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 10,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 11,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 11,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 12,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 12,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 13,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 13,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 14,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 14,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 15,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 15,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 16,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 16,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 17,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 17,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 18,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 18,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 19,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 19,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 2,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 2,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 20,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 20,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 21,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 21,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 22,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 22,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 23,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 23,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 24,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 24,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 25,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 25,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 26,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 26,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 27,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 27,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 28,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 28,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 29,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 29,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 3,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 3,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 30,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 30,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 31,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 31,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 32,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 32,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 33,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 33,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 34,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 34,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 35,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 35,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 36,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 36,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 37,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 37,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 4,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 4,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 5,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 5,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 6,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 6,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 7,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 7,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 8,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 8,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 9,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 9,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\LCVs,Sales Share,vehicle_type,True,True,True,False,%,
Demand\Freight road\LCVs,Stock,vehicle_type,True,False,True,True,Millions,
Demand\Freight road\LCVs,Stock Share,vehicle_type,True,False,True,True,%,
Demand\Freight road\LCVs\BEV,Sales Share,drive_or_size,True,True,True,False,%,
Demand\Freight road\LCVs\BEV,Stock Share,drive_or_size,True,False,True,True,%,
Demand\Freight road\LCVs\BEV\Electricity,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\LCVs\BEV\Electricity,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\LCVs\ICE,Sales Share,drive_or_size,True,True,True,False,%,
Demand\Freight road\LCVs\ICE,Stock Share,drive_or_size,True,False,True,True,%,
Demand\Freight road\LCVs\ICE\Biodiesel,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\LCVs\ICE\Biodiesel,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\LCVs\ICE\Biogas,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\LCVs\ICE\Biogas,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\LCVs\ICE\Biogasoline,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\LCVs\ICE\Biogasoline,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\LCVs\ICE\Efuel,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\LCVs\ICE\Efuel,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\LCVs\ICE\Gas and diesel oil,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\LCVs\ICE\Gas and diesel oil,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\LCVs\ICE\LPG,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\LCVs\ICE\LPG,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\LCVs\ICE\Motor gasoline,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\LCVs\ICE\Motor gasoline,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\LCVs\ICE\Natural gas,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\LCVs\ICE\Natural gas,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\LCVs\PHEV,Sales Share,drive_or_size,True,True,True,False,%,
Demand\Freight road\LCVs\PHEV,Stock Share,drive_or_size,True,False,True,True,%,
Demand\Freight road\LCVs\PHEV\Biodiesel,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\LCVs\PHEV\Biodiesel,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\LCVs\PHEV\Biogasoline,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\LCVs\PHEV\Biogasoline,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\LCVs\PHEV\Efuel,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\LCVs\PHEV\Efuel,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\LCVs\PHEV\Electricity,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\LCVs\PHEV\Electricity,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\LCVs\PHEV\Gas and diesel oil,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\LCVs\PHEV\Gas and diesel oil,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\LCVs\PHEV\Motor gasoline,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\LCVs\PHEV\Motor gasoline,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks,Sales Share,vehicle_type,True,True,True,False,%,
Demand\Freight road\Trucks,Stock,vehicle_type,True,False,True,True,Millions,
Demand\Freight road\Trucks,Stock Share,vehicle_type,True,False,True,True,%,
Demand\Freight road\Trucks\BEV heavy,Sales Share,drive_or_size,True,True,True,False,%,
Demand\Freight road\Trucks\BEV heavy,Stock Share,drive_or_size,True,False,True,True,%,
Demand\Freight road\Trucks\BEV heavy\Electricity,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\BEV heavy\Electricity,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\BEV medium,Sales Share,drive_or_size,True,True,True,False,%,
Demand\Freight road\Trucks\BEV medium,Stock Share,drive_or_size,True,False,True,True,%,
Demand\Freight road\Trucks\BEV medium\Electricity,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\BEV medium\Electricity,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\FCEV heavy,Sales Share,drive_or_size,True,True,True,False,%,
Demand\Freight road\Trucks\FCEV heavy,Stock Share,drive_or_size,True,False,True,True,%,
Demand\Freight road\Trucks\FCEV heavy\Hydrogen,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\FCEV heavy\Hydrogen,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\FCEV medium,Sales Share,drive_or_size,True,True,True,False,%,
Demand\Freight road\Trucks\FCEV medium,Stock Share,drive_or_size,True,False,True,True,%,
Demand\Freight road\Trucks\FCEV medium\Hydrogen,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\FCEV medium\Hydrogen,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE heavy,Sales Share,drive_or_size,True,True,True,False,%,
Demand\Freight road\Trucks\ICE heavy,Stock Share,drive_or_size,True,False,True,True,%,
Demand\Freight road\Trucks\ICE heavy\Biodiesel,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE heavy\Biodiesel,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE heavy\Biogas,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE heavy\Biogas,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE heavy\Biogasoline,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE heavy\Biogasoline,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE heavy\Efuel,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE heavy\Efuel,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE heavy\Gas and diesel oil,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE heavy\Gas and diesel oil,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE heavy\LNG,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE heavy\LNG,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE heavy\LPG,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE heavy\LPG,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE heavy\Motor gasoline,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE heavy\Motor gasoline,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE heavy\Natural gas,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE heavy\Natural gas,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE medium,Sales Share,drive_or_size,True,True,True,False,%,
Demand\Freight road\Trucks\ICE medium,Stock Share,drive_or_size,True,False,True,True,%,
Demand\Freight road\Trucks\ICE medium\Biodiesel,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE medium\Biodiesel,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE medium\Biogas,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE medium\Biogas,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE medium\Biogasoline,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE medium\Biogasoline,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE medium\Efuel,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE medium\Efuel,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE medium\Gas and diesel oil,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE medium\Gas and diesel oil,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE medium\LNG,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE medium\LNG,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE medium\LPG,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE medium\LPG,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE medium\Motor gasoline,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE medium\Motor gasoline,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE medium\Natural gas,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\Trucks\ICE medium\Natural gas,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\PHEV electric driving share,PHEV Electric Driving Share,economy,True,False,True,True,%,Single economy-level PHEV electric driving share used by Module 6.
Demand\Passenger road,Passenger Saturation Reached,transport,True,False,True,True,True/False,
Demand\Passenger road,Passenger Stock Growth Rate Adjustment,transport,True,False,True,True,multiplier,
Demand\Passenger road,Passenger Vehicle Saturation,transport,True,False,True,True,vehicles per 1000 people,
Demand\Passenger road,Reconciliation Bound Lower Efficiency,transport,True,False,True,True,ratio,
