status,Branch Path,Variable,Scenario,Region,source_region,source_scenario,years_overlaid,details
applied,Demand\Freight road\LCVs\BEV,Sales Share,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Freight road\LCVs\BEV\Electricity,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Freight road\LCVs\ICE,Sales Share,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Freight road\LCVs\ICE\Gas and diesel oil,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Freight road\LCVs\ICE\LPG,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Freight road\LCVs\ICE\Motor gasoline,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Freight road\LCVs\ICE\Natural gas,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Freight road\LCVs\PHEV,Sales Share,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Freight road\Trucks\BEV heavy,Sales Share,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Freight road\Trucks\BEV heavy\Electricity,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Freight road\Trucks\BEV medium,Sales Share,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Freight road\Trucks\BEV medium\Electricity,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Freight road\Trucks\FCEV heavy,Sales Share,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Freight road\Trucks\FCEV heavy\Hydrogen,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Freight road\Trucks\FCEV medium,Sales Share,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Freight road\Trucks\FCEV medium\Hydrogen,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Freight road\Trucks\ICE heavy,Sales Share,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Freight road\Trucks\ICE heavy\Gas and diesel oil,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Freight road\Trucks\ICE heavy\LPG,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Freight road\Trucks\ICE heavy\Motor gasoline,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Freight road\Trucks\ICE heavy\Natural gas,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Freight road\Trucks\ICE medium,Sales Share,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Freight road\Trucks\ICE medium\Gas and diesel oil,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Freight road\Trucks\ICE medium\LPG,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Freight road\Trucks\ICE medium\Motor gasoline,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Freight road\Trucks\ICE medium\Natural gas,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Freight road\Trucks\PHEV heavy,Sales Share,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Freight road\Trucks\PHEV medium,Sales Share,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\Buses\BEV,Sales Share,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\Buses\BEV\Electricity,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\Buses\FCEV,Sales Share,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\Buses\FCEV\Hydrogen,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\Buses\ICE,Sales Share,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\Buses\ICE\Gas and diesel oil,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\Buses\ICE\LPG,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\Buses\ICE\Motor gasoline,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\Buses\ICE\Natural gas,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\Buses\PHEV,Sales Share,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\LPVs\BEV large,Sales Share,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\LPVs\BEV large\Electricity,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\LPVs\BEV medium,Sales Share,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\LPVs\BEV medium\Electricity,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\LPVs\HEV large,Sales Share,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\LPVs\HEV large\Motor gasoline,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\LPVs\HEV medium,Sales Share,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\LPVs\HEV medium\Motor gasoline,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\LPVs\ICE large,Sales Share,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\LPVs\ICE large\Gas and diesel oil,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\LPVs\ICE large\LPG,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\LPVs\ICE large\Motor gasoline,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\LPVs\ICE large\Natural gas,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\LPVs\ICE medium,Sales Share,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\LPVs\ICE medium\Gas and diesel oil,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\LPVs\ICE medium\LPG,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\LPVs\ICE medium\Motor gasoline,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\LPVs\ICE medium\Natural gas,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\LPVs\PHEV large,Sales Share,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\LPVs\PHEV medium,Sales Share,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\Motorcycles\BEV,Sales Share,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\Motorcycles\BEV\Electricity,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\Motorcycles\ICE,Sales Share,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\Motorcycles\ICE\Gas and diesel oil,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road\Motorcycles\ICE\Motor gasoline,Fuel Economy,Reference,Philippines,Philippines,Target,2022;2030;2040;2050,exact_region_match
applied,Demand\Passenger road,Passenger Vehicle Saturation,Reference,Philippines,apec_passenger_vehicle_saturation.csv,,2022,2022=230.0
applied,Demand\Freight road,Reconciliation Bound Lower,Reference,Philippines,apec_reconciliation_factors.csv,,2022,2022=0.85
applied,Demand\Freight road,Reconciliation Bound Upper,Reference,Philippines,apec_reconciliation_factors.csv,,2022,2022=1.15
applied,Demand\Freight road,Reconciliation Weight,Reference,Philippines,apec_reconciliation_factors.csv,,2022,2022=1.0
applied,Demand\Passenger road,Reconciliation Bound Lower,Reference,Philippines,apec_reconciliation_factors.csv,,2022,2022=0.85
applied,Demand\Passenger road,Reconciliation Bound Upper,Reference,Philippines,apec_reconciliation_factors.csv,,2022,2022=1.15
applied,Demand\Passenger road,Reconciliation Weight,Reference,Philippines,apec_reconciliation_factors.csv,,2022,2022=1.0
applied,Demand\Passenger road\Buses,Vehicle Equivalent Weight,Reference,Philippines,apec_vehicle_equivalent_weights.csv,,2022,2022=12.0
applied,Demand\Passenger road\LPVs\Passenger cars,Vehicle Equivalent Weight,Reference,Philippines,apec_vehicle_equivalent_weights.csv,,2022,2022=1.0
applied,Demand\Passenger road\LPVs\SUV and light trucks,Vehicle Equivalent Weight,Reference,Philippines,apec_vehicle_equivalent_weights.csv,,2022,2022=1.35
applied,Demand\Passenger road\Motorcycles,Vehicle Equivalent Weight,Reference,Philippines,apec_vehicle_equivalent_weights.csv,,2022,2022=0.25
