rule_id,source,rule_text,extracted_variables,extracted_branch_hints,contains_path_like_text,confidence
R0001,transport model process.docx,"This document focuses on the practical steps to generate LEAP-ready stock inputs using leap_transport, then load them into LEAP.",Stock,,False,medium
R0002,transport model process.docx,Lifecycle profiles define fleet turnover behavior and age structure.,,Age ,False,medium
R0003,transport model process.docx,Vintage curve: distribution of vehicle ages on the road in a steady state.,,Age ,False,medium
R0004,transport model process.docx,"In `leap_transport`, these profiles are used as a calibration mechanism to keep stock-flow accounting coherent (not as a direct fit to noisy observed data). They can also represent policy effects, such as faster ICE scrappage or changes to base-year fleet age.",Stock,ICE | Age ,False,high
R0005,transport model process.docx,"Current Accounts: the base-year calibration scenario. This is where existing stock, starting shares, mileage settings, and lifecycle profiles are normally set.",Stock | Mileage,Age ,False,high
R0006,transport model process.docx,"Projection scenarios: future scenarios such as Reference or Target. These contain the forward assumptions for sales, shares, fuel economy, and other variables.",Sales | Fuel Economy,,False,medium
R0007,transport model process.docx,Stock: the number of vehicles currently in operation in a branch.,Stock,,False,medium
R0008,transport model process.docx,Sales: the number of new vehicles added in a year.,Sales,,False,medium
R0009,transport model process.docx,"Retirements: vehicles leaving the stock in a year, usually as a result of the survival profile and any scrappage assumptions.",Stock,Age ,False,high
R0010,transport model process.docx,Sales Share: the percentage of a parent branch’s sales allocated to each child branch.,Sales Share | Sales,Age ,False,high
R0011,transport model process.docx,"Stock Share: the percentage of a parent branch’s stock allocated to each child branch, mainly used in Current Accounts.",Stock,Age ,False,high
R0012,transport model process.docx,Device Share: the split of an engine type across its fuels. These shares should sum to 100% under the engine type.,Device Share,ICE,False,high
R0013,transport model process.docx,"Fuel Economy: energy consumed per unit of distance travelled, shown here as MJ per 100 km.",Fuel Economy,,False,medium
R0014,transport model process.docx,Mileage: annual distance travelled per vehicle.,Mileage,,False,medium
R0015,transport model process.docx,"Transport type: The highest-level branch in the transport model. It represents the broad transport segment being modelled, such as passenger road, freight road, or non-road modes. In the road model, this level holds the top-level sales projection that the rest of the branch is built from. In non-road, it is the level where overall activity is usually set and then split downward.",Sales,Passenger road | Freight road,False,high
R0016,transport model process.docx,"Vehicle type: A subdivision within a transport type that splits total transport demand or total vehicle ownership into categories of vehicles, such as cars, motorcycles, and buses. The document explains that total ownership is divided into vehicle types using vehicle type shares, and those shares determine how total sales or stocks are allocated across the fleet",Stock | Sales,Buses | Motorcycles,False,high
R0017,transport model process.docx,"Engine type: A subdivision within a vehicle type that represents the propulsion technology or drive type, such as ICE, BEV, or PHEV. In the document, engine type is important because it affects energy efficiency, turnover patterns, and the resulting energy use of each vehicle segment.",,ICE | HEV | PHEV | BEV,False,medium
R0018,transport model process.docx,"Stock: the total number of vehicles in that transport type. At this top level LEAP also shows a second stock field in Current Accounts, we think that is just a bug.",Stock,,False,medium
R0019,transport model process.docx,"Sales: the total new sales entering the whole transport type. In projection scenarios this is the highest-level sales control for the road model, and the sales are then distributed to child branches using sales shares.",Sales Share | Sales,,False,medium
R0020,transport model process.docx,Retirements: the total number of vehicles leaving stock in that transport type. Calculated.,Stock,,False,medium
R0021,transport model process.docx,Stock: the total number of vehicles in that vehicle type.,Stock,,False,medium
R0022,transport model process.docx,Stock Share: the share of the parent transport type’s stock allocated to this vehicle type. In Current Accounts this helps set the base-year split across vehicle types.,Stock,,False,medium
R0023,transport model process.docx,Sales: the number of new sales for that vehicle type. Calculated.,Sales,,False,medium
R0024,transport model process.docx,Sales Share: the share of the parent transport type’s sales allocated to this vehicle type. In projection scenarios this is usually the main control at this level.,Sales Share | Sales,,False,medium
R0025,transport model process.docx,Retirements: the number of vehicles of this type leaving stock. Calculated.,Stock,,False,medium
R0026,transport model process.docx,"Note: LEAP may also show some engine-type settings from this level through the tabs, but the main variables to set here are usually the stock and sales shares.",Stock | Sales Share | Sales,,False,medium
R0027,transport model process.docx,First Sales Year: the first year in which LEAP allows sales for that branch. Sales before this year are ignored.,Sales,,False,medium
R0028,transport model process.docx,Stock: the total number of vehicles with that engine type. Calculated.,Stock,,False,medium
R0029,transport model process.docx,Stock Share: the share of the parent vehicle type’s stock allocated to this engine type.,Stock,,False,medium
R0030,transport model process.docx,Sales: the number of new sales for that engine type. Calculated.,Sales,,False,medium
R0031,transport model process.docx,Sales Share: the share of the parent vehicle type’s sales allocated to this engine type.,Sales Share | Sales,,False,medium
R0032,transport model process.docx,Retirements: the number of vehicles of this engine type leaving stock. Calculated.,Stock,,False,medium
R0033,transport model process.docx,Fraction of Scrapped Replaced: the share of scrapped vehicles that is assumed to be replaced with new sales.,Sales,,False,medium
R0034,transport model process.docx,Max Scrappage Fraction: an upper limit on the share of the stock that can be scrapped in a year.,Stock,Age ,False,high
R0035,transport model process.docx,"Note: Fuel economy and mileage settings can also be viewed from this level, but they are usually set at the fuel branches.",Mileage | Fuel Economy,Age ,False,high
R0036,transport model process.docx,"Device Share: the share of vehicles in the engine type that use a given fuel. Across the fuels under one engine type, these shares should sum to 100%.",Device Share,ICE,False,high
R0037,transport model process.docx,Fuel Economy: the base energy consumption per 100 km for vehicles using that fuel.,Fuel Economy,,False,medium
R0038,transport model process.docx,Fuel Economy Correction Factor: a multiplier used to adjust the base fuel economy.,Fuel Economy,,False,medium
R0039,transport model process.docx,Final On-Road Fuel Economy: the effective fuel economy used by LEAP after the correction factor is applied.,Final On-Road Fuel Economy | Fuel Economy,,False,medium
R0040,transport model process.docx,Mileage: the annual distance travelled per vehicle.,Mileage,,False,medium
R0041,transport model process.docx,Mileage Correction Factor: a multiplier used to adjust the mileage assumption.,Mileage,Age ,False,high
R0042,transport model process.docx,Average Mileage: the average annual distance travelled by vehicles on that fuel after the profile effects are applied.,Mileage | Average Mileage,Age ,False,high
R0043,transport model process.docx,Final On-Road Mileage: the effective mileage used by LEAP in the final calculation.,Mileage | Final On-Road Mileage,Age ,False,high
R0044,transport model process.docx,"Here, for current accounts you will need to set the Stock Vintage profile:",Stock,Age ,False,high
R0045,transport model process.docx,And for Sales and sales share:,Sales Share | Sales,,False,medium
R0046,transport model process.docx,And for Mileage and efficiency,Mileage,Age ,False,high
R0047,transport model process.docx,Every economy will likely need a different vintage and survival profile built to achieve the sales trend that is desired. So running the code in  codebase/lifecycle_profile_workflow.py in the leap_transport repo will help you produce those.,Sales,Age ,False,high
R0048,transport model process.docx,"In addition to what is already in this sector in the balances, This sector in LEAP is an aggregation of energy that is recorded in all transport sub-sectors in the ESTO dataset, but which seemed unlikely to be realistic, such as kerosene, gasoline and coal product usage in the rail sector. Recategorizing these fuel types allows us to avoid having to consider them in the more detailed modelling that goes on outside the non-specified sector.  It will be important to be clear about all mappings relating to this sector, since they can otherwise cause issues and confusion.",,Age ,False,medium
R0049,transport model process.docx,"This section stays practical rather than exhaustive. If anything is unclear, the repo scripts themselves are usually the best reference, especially `transport_workflow.py`, `lifecycle_profile_workflow.py`, and `sales_workflow.py`.",Sales,,False,medium
R0050,transport model process.docx,Set stage behavior:,,Age ,False,medium
R0051,transport model process.docx,Set sales/policy behavior:,Sales,,False,medium
R0052,transport model process.docx,"- `SALES_MODE`: `""none""`, `""passenger""`, `""freight""`, or `""both""`.",Sales,,False,medium
R0053,transport model process.docx,- `SCENARIO_SALES_POLICY_SETTINGS`: optional scenario-level turnover policy overrides.,Sales,,False,medium
R0054,transport model process.docx,- `results/passenger_sales_<economy>_<scenario>.csv`,Sales,,False,medium
R0055,transport model process.docx,- `results/freight_sales_<economy>_<scenario>.csv`,Sales,,False,medium
R0056,transport model process.docx,Setting lifecycle/sales behavior,Sales,,False,medium
R0057,transport model process.docx,Each economy may require different survival/vintage assumptions to produce the intended sales trajectory.,Sales,Age ,False,high
R0058,transport model process.docx,- Sales/turnover behavior testing is handled in `codebase/sales_workflow.py`.,Sales,,False,medium
R0059,transport model process.docx,Use these to tune survival/vintage assumptions before final LEAP export runs.,,Age ,False,medium
R0060,transport model process.docx,"Extract all transport branches from leap like so (should be transport non road, freight road and passenger road). The economy is unimportant, assuming that all branch structures are the same across all regions in leap. Also include all scenario you are using in leap:",,Passenger road | Freight road,False,medium
